Content Manifest for Depot 368341

Manifest ID            : 6836562063496047959
Creation time          : 2021-05-07 12:08:15+00:00
Seen by SteamDB at     : 2021-05-07 15:51:39+00:00
Total number of files  : 5223
Total bytes on disk    : 995233893
Total bytes compressed : 512161328

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- ----------------------------------------------------------------------------------
       1931264 9dea5b8048730aedbf99cc41df3825ba41cf4b8e     0 CrossCode.exe
             0 0000000000000000000000000000000000000000    64 assets
             0 0000000000000000000000000000000000000000    64 assets/data
             0 0000000000000000000000000000000000000000    64 assets/data/animations
             0 0000000000000000000000000000000000000000    64 assets/data/animations/boss
        110459 f5029da097b9f77ba13cd8192c3a87a01a2dc5ab     0 assets/data/animations/boss/antlion.json
        295625 b3f6216dfb20b01072af5e08338cb0cdcccb006e     0 assets/data/animations/boss/cargo-crab-arena.json
        279620 f68a7393ef6c90f19994067bc4535ecf7ae50638     0 assets/data/animations/boss/cargo-crab-extra.json
        330050 72af12974b4f7263e3c8d1ada39e9c03489d24d7     0 assets/data/animations/boss/cargo-crab.json
         16674 ded8cd58b6b368f143f3614f06ae2769eb1b93da     0 assets/data/animations/boss/delorean.json
        201848 fe6c7db2ef7a292cf5798d55bffd6b3c93880959     0 assets/data/animations/boss/driller.json
        404752 fc180a05a33121d535ac33e5dd24d4b3627f2116     0 assets/data/animations/boss/elephant.json
        141274 e22f651ec2cb97451315aa7de6a6e42431eb7a14     0 assets/data/animations/boss/glitch-boss.json
        120405 8e7b32ff53f3481c7b58391e44aadcb07c1d298d     0 assets/data/animations/boss/god-cold.json
        202392 082c3202975a2dc0d042bcf48f75883588268458     0 assets/data/animations/boss/god-fire.json
        127916 d327b95118d445afb0788496911803d536e05c0f     0 assets/data/animations/boss/god-neutral.json
        144250 dc4d1ec4c18c7b14747b53f48c1a5386aab34e66     0 assets/data/animations/boss/god-shock.json
        128636 8075e2d101adb21983c64d63f2aaae75efb6003d     0 assets/data/animations/boss/god-wave.json
           284 291e8ac165b8471cdd2caad109fbd315392d54d3     0 assets/data/animations/boss/greenlight.json
